사업자등록번호,데이터수집일자,조사년도,분석기업매출액,산업평균매출액,분석기업매출액증감률,산업평균매출액증감률,기업연구개발액,평균연구개발액,기업연구개발액증감률,평균연구개발액증감률,기업특허실용신안출원건수,평균특허실용신안출원건수,기업특허실용신안생산력금액,평균특허실용신안생산력금액
1058217573,20220317,2020,,,,20,,,,,,,, 
1058515668,20220317,2017,,,,7,,10468.07,,111,,,, 
1058178286,20220317,2019,,,,45,,13956.81,,205,,,, 
1058210094,20220317,2019,,,,10,,796.34,,7,,,, 
1058718790,20220317,2017,4126815,,29.13,11,,565.59,,12,,,, 
1058723920,20220317,2017,,,,29,,10468.07,,11,,,, 
1058523998,20220317,2018,,,,7,,754.82,,35,,,, 
1058605866,20220317,2019,,,,10,,796.34,,6,,,, 
1052147101,20220317,2021,,,,,,,,,,,, 
1053063777,20220317,2018,,,,7,,754.82,,35,,,, 
1058178312,20220317,2019,6733501,,85.73,4,,4496.63,,3,,,, 
1054174474,20220317,2018,,,,7,,65.13,,17,,,, 
1058262286,20220317,2019,,,,,,,,,,,, 
1058197376,20220317,2018,,3578498.43,,5,,139600.54,,9,,0.41,,26
1058143832,20220317,2019,,,,10,,796.34,,7,,,, 
1058690271,20220317,2019,,,,14,,13956.81,,25,,,, 
1054366911,20220317,2017,,,,22,,10468.07,,11,,,, 
1058675324,20220317,2019,,,,49,,251.77,,38,,,, 
1052145312,20220317,2017,,,,10,,565.59,,40,,,, 
1058268640,20220317,2019,,,,11,,63.75,,7,,,, 
1058263422,20220317,2020,,,,8,,,,,,,, 
1058715094,20220317,2019,,,,4,,4496.63,,3,,,, 
1058315174,20220317,2018,,,,,,,,,,,, 
1058539262,20220317,2021,,,,,,,,,,,, 
1058522344,20220317,2017,,,,7,,10468.07,,111,,,, 
1058214673,20220317,2021,,,,,,,,,,,, 
1058271183,20220317,2017,,,,29,,10468.07,,11,,,, 
1058629266,20220317,2017,,,,15,,4887.58,,2,,,, 
1058540963,20220317,2021,,,,,,,,,,,, 
1058264213,20220317,2020,,,,,,,,,,,, 
1052239869,20220317,2017,891232,,,11,,565.59,,12,,,, 
1058160864,20220317,2018,,,,7,,754.82,,123,,,, 
1058300671,20220317,2017,,,,6,,144.84,,43,,,, 
1058265551,20220317,2018,,,,7,,65.13,,17,,,, 
1058635695,20220317,2018,,,,17,,11634.01,,90,,,, 
1058210060,20220317,2018,,,,17,,11634.01,,60,,,, 
1058540721,20220317,2019,,,,10,,796.34,,7,,,, 
1058682688,20220317,2021,,,,,,,,,,,, 
1058609407,20220317,2020,,,,2,,,,,,,, 
